#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-09-24T08:54:41 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-09-24T08:54:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/688/A13/table4&-source=J/A+A/688/A13/table4&-out=EPIC&-out=numaxCV&-out=e_numaxCV&-out=dnuCV&-out=e_dnuCV&-out=numaxSYD&-out=e_numaxSYD&-out=dnuSYD&-out=e_dnuSYD&-out=numaxTACO&-out=e_numaxTACO&-out=dnuTACO&-out=e_dnuTACO&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36880013
#Name: J/A+A/688/A13
#Title: K2 asteroseismic KEYSTONE Sample. I. (Lund+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/688/a13	    IVOID of underlying data collection
#INFO	creator=Lund M.N.	    First author or institution
#INFO	cites=bibcode:2024A&A...688A..13L	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/688/A13	    Dataset landing page
#INFO	publication_date=2024-07-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_688_A13_table4:
#Name: J/A+A/688/A13/table4
#Title: Seismologic properties
#Column	EPIC	(I9)	PIC identification number	[ucd=meta.id;meta.main]
#Column	numaxCV	(F8.3)	? numax from CV method (2)	[ucd=em.freq;src.var]
#Column	e_numaxCV	(F6.3)	? Uncertainty on numax from CV method (2)	[ucd=stat.error]
#Column	dnuCV	(F7.3)	? dnu from CV method (2)	[ucd=em.freq;src.var]
#Column	e_dnuCV	(F6.3)	? Uncertainty on dnu from CV method (2)	[ucd=stat.error]
#Column	numaxSYD	(F8.3)	? numax from SYD method (3)	[ucd=em.freq;src.var]
#Column	e_numaxSYD	(F8.3)	? Uncertainty on numax from SYD method (3)	[ucd=stat.error]
#Column	dnuSYD	(F7.3)	? dnu from SYD method (3)	[ucd=em.freq;src.var]
#Column	e_dnuSYD	(F6.3)	? Uncertainty on dnu from SYD method (3)	[ucd=stat.error]
#Column	numaxTACO	(F8.3)	? numax from TACO/OCT method (4)	[ucd=em.freq;src.var]
#Column	e_numaxTACO	(F6.3)	? Uncertainty on numax from TACO/OCT method (4)	[ucd=stat.error]
#Column	dnuTACO	(F7.3)	? dnu from TACO/OCT method (4)	[ucd=em.freq;src.var]
#Column	e_dnuTACO	(F6.3)	? Uncertainty on dnu from TACO/OCT method (4)	[ucd=stat.error]
#EPIC	numaxCV	e_numaxCV	dnuCV	e_dnuCV	numaxSYD	e_numaxSYD	dnuSYD	e_dnuSYD	numaxTACO	e_numaxTACO	dnuTACO	e_dnuTACO
# 	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz	uHz
#---------	--------	------	-------	------	--------	--------	-------	------	--------	------	-------	------
212478598	 544.019	 4.280	 34.507	 0.767	        	        	       	      	 537.914	 3.144	 34.494	 0.661
212478598	 536.704	 4.837	 35.597	 1.169	 528.938	   8.902	 35.130	 0.121	 536.751	 2.941	 35.274	 0.702
212485100	1803.833	20.820	 87.407	 0.560	1797.831	  43.522	 87.426	 0.278	1735.260	19.603	 87.379	 1.043
212485100	1809.627	24.811	 87.503	 0.595	        	        	       	      	1822.880	21.038	 87.443	 1.037
212485100	1834.302	21.455	 87.455	 0.580	1797.831	  43.522	 87.426	 0.278	1714.730	24.476	 87.265	 1.069
212487676	1441.194	14.774	 76.473	 0.578	        	        	       	      	1471.810	14.981	 76.372	 0.996
212487676	1444.777	15.235	 76.657	 0.609	1479.002	  25.267	 76.359	 0.261	        	      	       	
212487676	1448.231	14.518	 76.560	 0.601	1479.002	  25.267	 76.359	 0.261	1488.450	14.119	 76.519	 1.019
212509747	1306.120	18.874	 66.360	 0.494	1312.300	  28.402	 66.379	 0.237	1345.390	12.892	 66.408	 0.780
212509747	1325.791	18.050	 66.321	 0.516	        	        	       	      	        	      	       	
212509747	1309.774	18.306	 66.325	 0.499	1312.300	  28.402	 66.379	 0.237	1324.850	14.810	 66.385	 0.796
212516207	1398.014	18.264	 68.266	 0.513	1299.686	  25.586	 67.974	 0.294	1275.830	18.478	 68.051	 0.887
212516207	1352.589	22.992	 68.239	 0.503	        	        	       	      	        	      	       	
212516207	1373.579	20.010	 68.257	 0.523	1299.686	  25.586	 67.974	 0.294	1357.480	22.773	 68.172	 0.815
212586030	 316.679	 4.249	 21.365	 0.490	        	        	       	      	 314.206	 3.024	 21.416	 0.408
212617037	 885.984	27.638	 51.036	 0.464	        	        	       	      	        	      	       	
212617037	 817.589	22.146	 50.418	 0.605	1006.299	  28.745	 51.152	 0.720	        	      	       	
212617037	 879.021	27.977	 50.911	 0.514	1006.299	  28.745	 51.152	 0.720	 961.606	36.002	 51.011	 0.619
212624487	3025.209	33.563	132.357	 0.784	3019.061	  78.345	132.751	 0.372	        	      	       	
212636554	1310.789	26.144	 66.295	 0.496	        	        	       	      	        	      	       	
212683142	 797.732	10.343	 45.669	 0.529	 795.826	  13.880	 45.799	 0.196	 796.960	 7.313	 45.593	 0.685
212683142	 807.115	 7.641	 45.801	 0.499	        	        	       	      	 789.934	 7.745	 45.620	 0.730
212683142	 806.143	 8.267	 45.616	 0.557	 795.826	  13.880	 45.799	 0.196	 796.130	 6.694	 45.646	 0.687
212692724	1233.203	12.686	 66.324	 0.538	1214.486	  22.102	 66.560	 0.219	1239.650	10.937	 66.353	 0.889
212698976	 703.155	 7.434	 42.262	 0.552	 694.202	  22.039	 42.174	 0.372	 685.998	10.146	 42.186	 0.645
212708252	2890.088	28.966	132.267	 0.770	2970.167	  45.256	133.466	 0.249	        	      	       	
212708252	2892.260	18.559	133.697	 0.796	        	        	       	      	        	      	       	
212708252	2896.664	21.682	133.162	 0.773	2970.167	  45.256	133.466	 0.249	2950.600	39.614	133.452	 1.591
212709512	1208.055	13.092	 65.325	 0.554	1241.617	  30.369	 65.535	 0.228	        	      	       	
212709737	1640.626	36.514	 78.075	 0.517	1657.495	 158.769	 77.971	 1.793	        	      	       	
212709737	1640.235	57.941	 78.401	 0.539	        	        	       	      	        	      	       	
212709737	1717.351	68.558	 78.124	 0.468	1657.495	 158.769	 77.971	 1.793	1510.590	44.804	 77.673	 0.801
212710665	1287.161	11.952	 68.095	 0.565	1237.666	  19.005	 68.065	 0.183	        	      	       	
212728118	 761.250	25.030	 40.897	 0.411	 707.254	  13.409	 40.311	 0.984	        	      	       	
212772187	1846.267	39.907	 87.887	 0.601	1811.469	  52.964	 87.960	 0.486	        	      	       	
212772187	1799.657	49.533	 88.172	 0.563	        	        	       	      	        	      	       	
212772187	1846.891	34.923	 88.012	 0.578	1811.469	  52.964	 87.960	 0.486	1843.480	28.603	 88.024	 1.013
212819198	1259.234	33.692	 66.427	 0.476	1330.337	  28.931	 66.408	 0.916	        	      	       	
213332010	1324.652	10.966	 70.776	 0.571	1335.653	  28.253	 70.646	 0.164	1351.700	10.700	 70.838	 0.951
213554577	2044.427	24.879	 93.644	 0.739	        	        	       	      	        	      	       	
213841509	1886.931	20.057	 93.393	 0.612	1866.141	  43.156	 92.933	 0.230	1939.250	22.063	 93.330	 1.169
214073502	2720.063	33.515	120.723	 0.801	2659.327	 162.436	121.555	 0.461	        	      	       	
214155925	 722.950	17.669	 43.512	 0.479	 709.219	  13.481	 43.153	 0.181	        	      	       	
215035735	1201.375	15.087	 62.973	 0.509	1180.612	  36.303	 62.954	 0.212	        	      	       	
216228024	3024.376	48.339	126.301	 0.853	3044.118	 172.078	126.411	 0.411	        	      	       	
219179379	1590.670	17.851	 81.674	 0.583	1614.828	  22.731	 81.744	 0.285	        	      	       	
220222356	 226.112	 3.653	 16.268	 0.504	        	        	       	      	 215.704	 1.442	 16.207	 0.337
220292272	1242.752	24.853	 68.555	 0.682	1367.022	  68.697	 68.999	 1.055	        	      	       	
220374993	2056.826	25.078	 94.051	 0.628	2008.486	  48.042	 94.108	 0.440	        	      	       	
220437625	 428.340	 3.593	 27.086	 0.885	 418.428	   4.651	 27.131	 0.080	 419.480	 1.931	 27.178	 0.514
220623859	2232.047	18.929	105.335	 0.754	2171.384	  51.881	104.966	 0.194	2269.840	35.355	105.275	 1.366
221823709	1523.661	18.063	 74.436	 0.546	1474.036	  37.594	 74.410	 0.259	1522.100	14.890	 74.358	 0.910
224535896	1824.606	11.101	 92.032	 0.676	1807.064	  26.522	 92.035	 0.127	1810.040	 3.148	 91.712	 1.198
226083290	2398.978	50.049	102.383	 0.787	2173.777	  77.021	102.534	 1.303	2188.120	70.778	102.760	 1.286
226464131	2984.288	58.037	131.562	 0.676	3058.308	 182.140	131.710	 1.834	        	      	       	
228704734	1292.572	26.276	 65.455	 0.515	1226.033	  48.057	 65.455	 0.443	        	      	       	
228720824	2693.646	53.992	121.840	 0.577	2789.545	1016.507	121.439	 1.888	        	      	       	
228737206	 561.386	 8.650	 32.890	 0.458	 536.850	  11.051	 32.640	 0.329	 537.227	 7.034	 32.838	 0.535
228739655	 934.685	 8.541	 51.778	 1.017	 921.367	  11.783	 52.634	 0.524	 924.015	 6.624	 52.510	 0.858
228759924	 810.092	17.993	 49.922	 0.458	 861.773	  29.799	 48.712	 0.854	 847.202	18.397	 49.964	 0.686
228775782	2022.721	32.364	 93.868	 0.657	        	        	       	      	        	      	       	
228789925	1123.927	 8.482	 60.703	 0.636	1092.783	  16.873	 60.440	 0.225	1104.540	 8.237	 60.468	 0.912
228818122	        	      	       	      	1613.397	  32.193	 77.575	 2.908	        	      	       	
228837389	 552.510	 5.862	 35.307	 0.617	 544.383	   9.441	 34.946	 0.328	 561.158	 5.536	 35.024	 0.591
228984381	1185.413	 9.311	 62.834	 0.600	1149.366	  15.136	 62.967	 0.220	1160.080	 8.389	 62.617	 0.910
229110376	 500.770	10.051	 30.629	 0.360	 519.608	  33.434	 30.712	 0.415	        	      	       	
229159911	 845.771	23.893	 42.029	 0.553	 757.650	  24.954	 41.376	 1.112	        	      	       	
230748783	2263.764	21.499	104.225	 0.921	2205.626	  28.021	104.266	 0.350	2224.260	82.198	104.922	 1.276
231478973	1648.464	30.822	 84.603	 0.656	1640.852	  47.748	 84.583	 0.793	1728.850	37.340	 84.497	 1.021
233933903	1458.426	10.974	 73.883	 0.597	1464.662	  23.351	 73.606	 0.173	1480.490	 9.194	 73.598	 0.970
233947029	1618.573	13.742	 79.077	 0.655	1606.310	  27.926	 79.192	 0.208	1664.420	14.746	 78.961	 1.012
234426962	1068.390	19.911	 58.512	 0.500	1127.647	  64.065	 58.415	 0.419	1112.230	28.504	 58.674	 0.758
234863731	1501.791	25.144	 73.302	 0.528	1506.957	  38.595	 73.571	 0.440	1568.780	20.512	 73.315	 0.884
235124375	2208.507	25.648	100.171	 0.672	2191.971	  57.124	100.281	 0.576	        	      	       	
236012973	2554.852	21.716	117.480	 0.722	2540.906	  71.984	116.387	 0.225	2590.650	95.275	117.836	 1.398
236224056	 764.233	 5.991	 43.047	 1.021	 757.537	   9.995	 43.237	 0.151	 752.410	 4.974	 43.337	 0.737
236344582	2858.132	25.478	122.906	 0.763	2793.677	  31.444	122.725	 0.280	2788.780	67.874	122.748	 1.283
237799552	2709.384	50.194	122.629	 0.648	        	        	       	      	        	      	       	
241011563	1411.071	11.517	 73.489	 0.618	1399.288	  23.239	 73.489	 0.214	1432.020	13.593	 73.347	 1.024
242184803	1179.099	24.706	 61.199	 0.551	1169.963	  33.721	 61.320	 0.498	 985.373	49.014	 60.619	 0.982
245939167	2531.051	35.558	109.134	 0.648	2409.378	  51.812	109.108	 0.419	        	      	       	
245961434	 807.610	12.149	 47.301	 0.535	        	        	       	      	        	      	       	
245961434	 832.246	11.114	 47.063	 0.495	 851.715	  42.139	 46.460	 2.195	 928.691	 3.195	 46.910	 0.651
245961434	 842.407	13.516	 46.992	 0.556	 851.715	  42.139	 46.460	 2.195	 858.744	11.994	 46.886	 0.733
245972483	1792.532	15.839	 85.041	 0.615	        	        	       	      	1794.400	12.813	 84.936	 1.021
245972483	1848.667	23.451	 85.054	 0.584	1684.298	  22.166	 86.037	 1.447	        	      	       	
245972483	1786.573	16.957	 85.081	 0.600	1684.298	  22.166	 86.037	 1.447	1765.970	16.740	 84.980	 1.020
246003951	 932.401	32.998	 45.381	 0.404	 902.335	  13.505	 42.647	 2.704	 918.074	12.159	 45.231	 0.489
246011640	1074.863	19.081	 56.341	 0.478	1069.450	  23.052	 56.654	 0.285	1099.910	11.434	 56.534	 0.729
246018042	1673.610	25.011	 77.763	 0.502	1601.901	  83.245	 77.773	 0.344	1670.200	24.286	 77.700	 0.845
246025837	1417.400	 9.007	 77.019	 0.657	1427.348	  29.272	 76.688	 0.146	1441.320	10.570	 76.908	 1.114
246033065	2317.664	47.351	101.997	 0.689	        	        	       	      	        	      	       	
246033065	2218.953	27.481	102.893	 0.749	2075.030	  82.553	102.235	 4.903	        	      	       	
246033065	2189.032	37.917	102.547	 0.673	2075.030	  82.553	102.235	 4.903	2167.060	29.871	102.194	 1.229
246054188	1275.744	17.178	 67.224	 0.534	1262.775	  23.259	 67.524	 0.224	1287.090	 6.774	 67.264	 0.892
246069493	2684.497	62.417	128.005	 0.660	3096.997	 125.169	127.731	 2.526	        	      	       	
246099088	        	      	       	      	2076.267	 277.297	102.473	 5.672	        	      	       	
246134147	1726.837	22.180	 83.573	 0.618	        	        	       	      	        	      	       	
246134147	1666.214	29.709	 83.708	 0.634	1605.836	  58.480	 84.312	 1.556	        	      	       	
246134147	1720.203	21.999	 83.676	 0.601	1605.836	  58.480	 84.312	 1.556	1672.330	19.686	 83.408	 1.044
246154489	 189.016	 3.077	 14.420	 0.369	        	        	       	      	 171.181	 6.025	 14.372	 0.319
246154489	 193.067	 6.512	 13.726	 0.934	        	        	       	      	 193.981	 5.364	 13.992	 0.278
246154489	 187.510	 4.420	 14.285	 0.490	        	        	       	      	 191.296	 2.587	 14.257	 0.295
246161591	 823.915	11.600	 47.973	 0.621	 815.496	  10.703	 48.140	 0.315	 812.856	 8.698	 47.580	 0.748
246163607	2312.663	44.169	106.406	 0.706	2221.922	 418.430	104.541	 4.074	        	      	       	
246184564	 159.108	 3.941	 11.796	 0.373	        	        	       	      	        	      	       	
246184564	 155.437	 5.446	 11.746	 0.292	 152.250	   3.069	 11.614	 0.207	 145.543	 3.447	 11.665	 0.246
246212144	 978.829	17.109	 53.383	 0.443	1014.445	  21.554	 53.415	 0.340	        	      	       	
246212144	1050.555	21.114	 53.739	 0.515	        	        	       	      	1020.060	26.857	 53.475	 0.694
246212144	 994.606	18.427	 53.582	 0.465	1014.445	  21.554	 53.415	 0.340	1010.970	15.006	 53.541	 0.679
246256752	1196.476	12.094	 65.022	 0.527	1183.273	  37.704	 65.092	 0.194	1106.160	 1.810	 64.911	 0.921
246257644	2751.454	54.008	120.652	 0.802	2813.770	 110.242	120.667	 4.821	        	      	       	
246260292	2111.456	31.793	 98.993	 0.612	2139.776	  66.472	 98.856	 0.864	        	      	       	
246301897	2394.298	36.480	102.875	 0.612	        	        	       	      	        	      	       	
246301897	2214.079	28.310	102.073	 0.655	2119.755	  22.440	102.826	 0.680	2343.980	 5.829	102.398	 1.143
246305274	 798.648	12.956	 46.728	 0.476	        	        	       	      	 805.176	 9.457	 46.799	 0.664
246305274	 832.786	15.545	 47.431	 0.896	 837.107	  30.262	 45.715	 2.835	 803.387	21.106	 47.998	 0.811
246305274	 795.241	12.347	 47.126	 0.525	 837.107	  30.262	 45.715	 2.835	 787.652	 9.424	 47.042	 0.773
246305350	 802.452	15.075	 47.944	 0.471	        	        	       	      	        	      	       	
246305350	 830.830	14.842	 47.997	 0.461	 871.345	  46.522	 47.311	 2.106	        	      	       	
246305350	 831.711	13.586	 47.754	 0.558	 871.345	  46.522	 47.311	 2.106	 878.349	 6.651	 47.946	 0.717
246358740	1094.251	11.674	 58.585	 0.566	1042.901	  23.683	 57.227	 0.666	 876.238	 1.794	 58.140	 1.016
246358796	2390.394	45.043	108.024	 0.728	2465.849	  57.416	108.396	 0.879	        	      	       	
246418246	1933.745	20.238	 94.615	 0.817	1919.157	  49.180	 94.199	 2.148	        	      	       	
246438837	1071.187	16.988	 55.653	 0.470	1026.618	  46.734	 55.605	 0.256	        	      	       	
246438837	1051.509	18.286	 55.489	 0.539	        	        	       	      	        	      	       	
246438837	1062.117	16.122	 55.520	 0.516	1026.618	  46.734	 55.605	 0.256	1061.090	 9.586	 55.489	 0.744
246685193	1370.353	 9.314	 72.212	 0.635	1337.343	  31.582	 72.305	 0.130	1363.460	14.265	 72.094	 1.035
246696804	1115.297	22.318	 66.132	 0.692	1302.730	  72.378	 66.569	 0.790	        	      	       	
246758642	1511.292	31.360	 80.145	 0.579	1641.982	  46.990	 80.414	 0.491	        	      	       	
246843060	2027.004	26.087	 93.061	 0.660	2039.840	  74.634	 92.918	 0.531	1949.390	 8.843	 92.818	 1.175
246907677	2262.957	42.412	 94.252	 0.627	2004.219	  52.645	 93.887	 0.689	        	      	       	
246928030	 918.332	14.112	 56.381	 0.543	1005.271	  19.264	 56.009	 0.389	1004.060	 8.344	 56.444	 0.740
247236354	1370.274	24.239	 69.941	 0.550	        	        	       	      	        	      	       	
247245721	 844.240	 9.514	 46.766	 0.563	 846.126	  15.120	 45.904	 0.539	 847.405	 7.757	 46.864	 0.708
247643791	1977.856	50.663	 84.841	 0.513	        	        	       	      	        	      	       	
247906277	3283.149	33.667	143.353	 0.820	3561.750	 293.287	143.556	 0.478	        	      	       	
247992384	2152.376	40.612	103.445	 0.605	2076.184	  33.146	102.902	 0.890	        	      	       	
248149077	 837.746	 9.704	 47.799	 0.444	 835.643	  13.954	 47.919	 0.245	 831.858	10.382	 47.782	 0.626
248424564	2277.230	19.226	108.899	 0.770	2305.840	  60.385	108.940	 0.192	2319.380	29.958	108.468	 1.378
248505415	1866.135	32.071	 90.128	 0.753	1768.695	 182.849	 89.157	 1.671	        	      	       	
248514180	 819.012	32.282	 47.127	 0.385	 886.671	  57.813	 47.032	 0.831	        	      	       	
248530476	1282.815	29.057	 66.864	 0.522	1302.416	  27.640	 66.951	 0.446	1290.870	34.765	 66.891	 0.846
248553904	2317.582	26.255	106.469	 0.654	2154.241	  23.484	106.782	 0.513	2548.510	 5.089	106.687	 1.094
248568507	1105.639	 9.446	 60.505	 0.613	1142.539	  21.572	 60.532	 0.178	1152.290	 8.502	 60.277	 0.874
248593082	 959.787	24.160	 52.285	 0.490	 935.465	  17.648	 52.166	 0.304	 928.179	11.179	 52.204	 0.656
248641774	2557.062	68.281	120.772	 0.717	2991.689	  73.955	121.675	 1.514	        	      	       	
248643218	1217.363	17.434	 63.544	 0.552	1242.154	  31.003	 63.636	 0.336	        	      	       	
248662379	2093.629	35.040	100.847	 0.733	2195.189	  66.951	101.373	 0.698	        	      	       	
248663722	 226.585	 3.743	 16.777	 0.555	        	        	       	      	 214.586	 1.546	 16.749	 0.373
248665653	1241.073	13.214	 62.909	 0.553	1245.784	  20.478	 63.085	 0.174	1275.800	 3.244	 62.855	 0.827
248687497	2144.267	29.945	103.524	 0.584	2126.796	  14.357	104.188	 0.714	        	      	       	
248696061	 205.016	 3.864	 14.736	 0.368	        	        	       	      	 194.444	 3.651	 14.836	 0.299
248724653	 121.179	 2.910	 10.258	 0.480	 116.171	   2.292	 10.090	 0.289	 117.805	 1.028	 10.142	 0.258
248729983	1806.159	31.104	 87.964	 0.652	1786.120	  48.933	 87.531	 0.572	        	      	       	
248760285	 412.300	 3.549	 26.550	 0.740	 402.822	   4.389	 26.476	 0.095	 405.978	 1.840	 26.473	 0.507
248776784	  62.997	 4.044	  6.635	 0.283	        	        	       	      	        	      	       	
248777106	1318.848	13.648	 67.474	 0.650	1291.965	  41.744	 67.494	 0.164	1283.970	22.528	 67.210	 0.907
248785352	2132.442	25.783	105.395	 0.794	2145.382	  45.502	105.564	 0.317	2149.360	35.133	104.668	 1.505
248825038	2146.571	34.841	 96.759	 0.617	2048.964	  26.190	 95.743	 0.693	        	      	       	
248842300	1625.516	34.911	 80.201	 0.523	1665.303	  60.871	 80.205	 1.852	        	      	       	
248849444	1016.262	21.457	 56.463	 0.571	 988.321	  41.765	 57.044	 0.489	1001.530	28.230	 56.770	 0.817
248855475	 697.571	 3.898	 40.445	 0.628	 682.065	   6.469	 40.873	 0.131	 685.042	 2.736	 40.367	 0.715
248891803	1236.835	22.078	 63.889	 0.544	1226.762	  44.811	 64.121	 0.451	1214.050	24.058	 63.725	 0.826
